,price
2022-01-01,59967.559707877444
2022-01-02,63075.394822624046
2022-01-03,66406.60056169938
2022-01-04,64810.68926568163
2022-01-05,63924.895437557134
2022-01-06,62504.232363958974
2022-01-07,63797.68124705835
2022-01-08,63530.84829807534
2022-01-09,65260.97778622992
2022-01-10,60471.90555047772
2022-01-11,65079.90835026929
2022-01-12,64649.16026260583
2022-01-13,66240.88588107875
2022-01-14,65750.85409373688
2022-01-15,64666.46548279498
2022-01-16,65715.91713390201
2022-01-17,67742.81862884166
2022-01-18,67055.83057453702
2022-01-19,66528.77094321692
2022-01-20,68181.99241613662
2022-01-21,65722.34238551675
2022-01-22,61654.59767461858
2022-01-23,62647.65384050617
2022-01-24,60900.9902372127
2022-01-25,56294.82531033979
2022-01-26,53999.830716430966
2022-01-27,52856.49843701261
2022-01-28,50333.79512603146
2022-01-29,47135.17584528773
2022-01-30,47121.313612099446
2022-01-31,48686.256688708345
2022-02-01,48129.52596291626
2022-02-02,46669.237692908195
2022-02-03,47303.540203379765
2022-02-04,48551.913924898014
2022-02-05,47876.74623624095
2022-02-06,48805.22055111253
2022-02-07,50755.73329312791
2022-02-08,50219.72654367247
2022-02-09,48565.38265007232
2022-02-10,49156.78678849939
2022-02-11,49535.71132521461
2022-02-12,51590.638121838034
2022-02-13,48785.471334913
2022-02-14,47295.65981578449
2022-02-15,45638.078801267664
2022-02-16,42440.52448842523
2022-02-17,42611.08080855757
2022-02-18,43404.13572626005
2022-02-19,42075.625283722205
2022-02-20,44399.35926929179
2022-02-21,45952.39341930099
2022-02-22,47059.568394920374
2022-02-23,47725.22813762217
2022-02-24,49444.72243108857
2022-02-25,46710.360473950735
2022-02-26,47897.03532246133
2022-02-27,48969.31895796236
2022-02-28,45559.02495129479
2022-03-01,46220.501852946574
2022-03-02,45679.67078562124
2022-03-03,46992.94513049118
2022-03-04,46076.722451577785
2022-03-05,45953.04173793233
2022-03-06,46473.57411535578
2022-03-07,44825.87242015759
2022-03-08,45843.75427813033
2022-03-09,45562.92263951191
2022-03-10,46346.74370461711
2022-03-11,45316.38358482251
2022-03-12,47205.39585883554
2022-03-13,48325.71214692955
2022-03-14,47889.594788076
2022-03-15,48978.654221707926
2022-03-16,51392.31131378592
2022-03-17,55417.83135592731
2022-03-18,51214.44028242484
2022-03-19,53362.656376551124
2022-03-20,54309.366807617305
2022-03-21,54002.55953539181
2022-03-22,51840.36211628232
2022-03-23,54505.102929344575
2022-03-24,51488.55058170902
2022-03-25,52687.644690316905
2022-03-26,55380.30264677966
2022-03-27,51555.0110371475
2022-03-28,50725.69082528203
2022-03-29,48105.813424801956
2022-03-30,48521.95570290362
2022-03-31,51358.79905508641
2022-04-01,56123.849994772434
2022-04-02,51048.682897128376
2022-04-03,49426.135193414746
2022-04-04,50749.258145435284
2022-04-05,53964.27394798235
2022-04-06,54905.91747485635
2022-04-07,53213.34908776539
2022-04-08,53747.34449044967
2022-04-09,53606.77503868022
2022-04-10,53081.958722680276
2022-04-11,51491.74429183251
2022-04-12,52195.49083517135
2022-04-13,52723.072317944236
2022-04-14,52429.25750580969
2022-04-15,51879.72734962862
2022-04-16,49262.71326229368
2022-04-17,48144.87097262577
2022-04-18,50392.305694926814
2022-04-19,49884.66290334676
2022-04-20,47085.95199162013
2022-04-21,49850.75050119054
2022-04-22,50950.40872348798
2022-04-23,55287.71611583091
2022-04-24,55352.89656057236
2022-04-25,54268.03343003283
2022-04-26,51171.82348875502
2022-04-27,54164.87927270856
2022-04-28,60657.26515874324
2022-04-29,57675.71276479343
2022-04-30,55985.330467724874
2022-05-01,57226.106837797524
2022-05-02,55261.32970129325
2022-05-03,54548.995935456056
2022-05-04,53706.762019619695
2022-05-05,54003.32301370963
2022-05-06,56230.436077492355
2022-05-07,56171.60231561221
2022-05-08,58085.47058169942
2022-05-09,56982.07357329051
2022-05-10,57604.817653671955
2022-05-11,52900.000937947865
2022-05-12,49082.71034799797
2022-05-13,50886.923951413846
2022-05-14,49563.01735982087
2022-05-15,50618.686248390964
2022-05-16,51616.339672621725
2022-05-17,54276.22192265334
2022-05-18,56120.249559700766
2022-05-19,58392.4189615168
2022-05-20,58005.67747520088
2022-05-21,56349.918966378355
2022-05-22,54617.20599464927
2022-05-23,53449.649786148686
2022-05-24,51024.77023820221
2022-05-25,49759.30277829249
2022-05-26,49479.38348359957
2022-05-27,49864.22206974401
2022-05-28,49116.05310933279
2022-05-29,45481.46793872692
2022-05-30,45233.667514691515
2022-05-31,45539.22578082166
2022-06-01,47400.26856731803
2022-06-02,48466.16647469952
2022-06-03,47149.61336921432
2022-06-04,45718.66707487193
2022-06-05,49468.68406972337
2022-06-06,51263.052666291114
2022-06-07,55178.06927138127
2022-06-08,61053.799753324696
2022-06-09,58225.945479851565
2022-06-10,59068.94748080359
2022-06-11,60018.74649059787
2022-06-12,61229.8707661361
2022-06-13,62432.40163262998
2022-06-14,62808.49800153261
2022-06-15,63108.892453053224
2022-06-16,59427.15088609914
2022-06-17,58873.22627136395
2022-06-18,57081.04372358811
2022-06-19,57258.04792303703
2022-06-20,56121.68429136231
2022-06-21,57386.9831888844
2022-06-22,59168.51960489792
2022-06-23,59796.87846819017
2022-06-24,60417.75074437561
2022-06-25,60517.093038429055
2022-06-26,59361.99873107426
2022-06-27,58864.37278375881
2022-06-28,57632.61455991625
2022-06-29,58403.11422645448
2022-06-30,58320.15898736642
2022-07-01,59526.214167022576
2022-07-02,56366.03292281673
2022-07-03,58477.56038651351
2022-07-04,56547.413306938346
2022-07-05,54782.43962768483
2022-07-06,54241.30357351555
2022-07-07,52966.04227861834
2022-07-08,53473.36234010957
2022-07-09,52190.35723953814
2022-07-10,49929.66266231812
2022-07-11,48094.60632062273
2022-07-12,50651.014251156616
2022-07-13,50649.428870228636
2022-07-14,48321.3415058582
2022-07-15,48243.23782321189
2022-07-16,45341.107246860374
2022-07-17,49053.13763220694
2022-07-18,45386.82590419618
2022-07-19,46361.00458311444
2022-07-20,47277.50507611013
2022-07-21,44557.930380880396
2022-07-22,45068.663071809795
2022-07-23,46761.30120492374
2022-07-24,47582.09311130752
2022-07-25,47978.31785191995
2022-07-26,49680.428022886335
2022-07-27,49911.97008612715
2022-07-28,50466.25352111523
2022-07-29,50118.937237555256
2022-07-30,51256.76290649467
2022-07-31,49276.989069551666
2022-08-01,50812.06994277674
2022-08-02,49681.566193655504
2022-08-03,47497.26950228598
2022-08-04,48137.22636092313
2022-08-05,51326.75758898497
2022-08-06,53559.495613797204
2022-08-07,52300.99432116098
2022-08-08,53657.927175093995
2022-08-09,52586.653994700595
2022-08-10,52228.21050066415
2022-08-11,52305.9754271179
2022-08-12,47733.14244612514
2022-08-13,48115.08282122142
2022-08-14,46139.84691653446
2022-08-15,44732.45101020668
2022-08-16,42074.66360018053
2022-08-17,39226.54849501192
2022-08-18,37460.03485252894
2022-08-19,38712.23569046085
2022-08-20,41360.25924266164
2022-08-21,41230.12666360277
2022-08-22,42920.478651624566
2022-08-23,42364.53204359895
2022-08-24,39254.74020530512
2022-08-25,39461.16523752594
2022-08-26,40068.644382951265
2022-08-27,39323.741701187784
2022-08-28,39713.36917558867
2022-08-29,40527.2454252382
2022-08-30,39089.282577132646
2022-08-31,36730.500616083555
2022-09-01,36294.03064361167
2022-09-02,35927.09549298795
2022-09-03,35369.80291958476
2022-09-04,36684.54580079959
2022-09-05,39322.22211861132
2022-09-06,38475.853054232764
2022-09-07,39470.9822335086
2022-09-08,40905.98493431371
2022-09-09,42044.874517836666
2022-09-10,43769.1885375587
2022-09-11,42975.97684941709
2022-09-12,44150.736771738986
2022-09-13,47799.79629627571
2022-09-14,49655.17631303654
2022-09-15,48295.51760713074
2022-09-16,49382.69263096931
2022-09-17,51820.31506049645
2022-09-18,52549.53522505315
2022-09-19,51303.3739820682
2022-09-20,54423.3343140031
2022-09-21,51328.818464944554
2022-09-22,52385.31992645245
2022-09-23,52248.63799675909
2022-09-24,49797.15240549938
2022-09-25,52344.7015727246
2022-09-26,53038.490604707964
2022-09-27,50576.31857335194
2022-09-28,51782.52492209063
