,price
2022-01-01,30030.54579496498
2022-01-02,30364.656541523673
2022-01-03,30112.179782893585
2022-01-04,29243.18916071095
2022-01-05,28799.63266892506
2022-01-06,27861.90685097011
2022-01-07,27949.91648326825
2022-01-08,29273.234154593916
2022-01-09,28757.87771592071
2022-01-10,28175.32429285983
2022-01-11,28687.416705392792
2022-01-12,29070.234318085175
2022-01-13,29203.34985133767
2022-01-14,28326.506994590873
2022-01-15,28324.302320821796
2022-01-16,29025.70743135826
2022-01-17,27719.300891503583
2022-01-18,27263.247891518644
2022-01-19,25559.259997198693
2022-01-20,24227.591147047828
2022-01-21,22535.935716891294
2022-01-22,22325.00188279627
2022-01-23,21403.691334449497
2022-01-24,21644.639925095365
2022-01-25,21781.516798460587
2022-01-26,21665.216022897566
2022-01-27,19914.355667605727
2022-01-28,19432.935118289173
2022-01-29,19418.67548423049
2022-01-30,19512.1272471643
2022-01-31,18546.310282758066
2022-02-01,18219.25760768653
2022-02-02,17630.6869997759
2022-02-03,17138.199443011046
2022-02-04,17815.84640466362
2022-02-05,17310.788904356745
2022-02-06,17307.53381941914
2022-02-07,17849.793207795006
2022-02-08,17498.687232573106
2022-02-09,17447.894103497936
2022-02-10,17530.228660433706
2022-02-11,17585.168989275142
2022-02-12,16888.506629048577
2022-02-13,16953.137421890184
2022-02-14,17767.148652524887
2022-02-15,16764.418375079156
2022-02-16,17379.503639400562
2022-02-17,17472.172993019274
2022-02-18,17113.81936266327
2022-02-19,18365.839945487434
2022-02-20,18999.522828246747
2022-02-21,18211.98722428931
2022-02-22,18281.01318475624
2022-02-23,18658.957791332505
2022-02-24,18555.469087821813
2022-02-25,19008.202786238406
2022-02-26,18982.520096555676
2022-02-27,19434.286751903684
2022-02-28,20454.490025088504
2022-03-01,19942.274448303662
2022-03-02,20105.27869682192
2022-03-03,19811.283726020996
2022-03-04,19917.37623009444
2022-03-05,19152.079557856672
2022-03-06,18762.13706482634
2022-03-07,18652.622680250188
2022-03-08,19248.104011599844
2022-03-09,20072.709624481973
2022-03-10,19123.859100285772
2022-03-11,18560.95435270638
2022-03-12,19014.689648206902
2022-03-13,17752.815313193114
2022-03-14,17417.84637482219
2022-03-15,17376.106978830096
2022-03-16,18148.039292053152
2022-03-17,18642.4299009427
2022-03-18,18446.639842243316
2022-03-19,18234.14566442696
2022-03-20,18096.703240533523
2022-03-21,19075.664561074176
2022-03-22,18775.955915401086
2022-03-23,18598.90285092961
2022-03-24,18841.66854004926
2022-03-25,18782.496321061182
2022-03-26,18675.757363437944
2022-03-27,18001.50989272795
2022-03-28,18011.386940354867
2022-03-29,17760.774900810266
2022-03-30,18503.020747756105
2022-03-31,18975.983118113672
2022-04-01,18978.375167704373
2022-04-02,19430.652272166004
2022-04-03,19220.26404369907
2022-04-04,19941.554546852767
2022-04-05,19957.022905454505
2022-04-06,20374.018383068702
2022-04-07,19502.201430671408
2022-04-08,19779.76778680746
2022-04-09,18689.44672063772
2022-04-10,17227.491488781045
2022-04-11,17001.943305310728
2022-04-12,16502.354406667826
2022-04-13,16615.777704037126
2022-04-14,17945.248739462208
2022-04-15,17305.64142807005
2022-04-16,16929.963907845835
2022-04-17,17068.45137884176
2022-04-18,17372.955231143318
2022-04-19,17284.668696170345
2022-04-20,17181.261600777896
2022-04-21,17612.289825476433
2022-04-22,17953.309367955826
2022-04-23,17341.056204620014
2022-04-24,17307.841950826005
2022-04-25,17345.358365382788
2022-04-26,16754.612718216136
2022-04-27,16930.682501856616
2022-04-28,16460.235636112186
2022-04-29,17056.686547421432
2022-04-30,17193.30556671082
2022-05-01,17262.2009887005
2022-05-02,16937.24055337597
2022-05-03,16884.178139551834
2022-05-04,15796.534687174186
2022-05-05,15065.687417811367
2022-05-06,15293.165068886574
2022-05-07,14232.857552042628
2022-05-08,14787.505635172109
2022-05-09,13882.319016823085
2022-05-10,14343.818525676921
2022-05-11,13927.97489644349
2022-05-12,14335.489123851565
2022-05-13,14416.229976356146
2022-05-14,13699.225114740173
2022-05-15,14402.985151307068
2022-05-16,15245.771586967874
2022-05-17,15220.369298656187
2022-05-18,15094.79615064146
2022-05-19,15027.65252877485
2022-05-20,14553.915506526191
2022-05-21,15157.73759789548
2022-05-22,14869.859014427688
2022-05-23,14857.935933610459
2022-05-24,14479.061104219438
2022-05-25,14176.011964409072
2022-05-26,13571.813654530995
2022-05-27,14248.413622765174
2022-05-28,14177.924779854508
2022-05-29,14663.524479454227
2022-05-30,14684.850631911733
2022-05-31,14358.349381663278
2022-06-01,14209.014832306333
2022-06-02,13953.952523577891
2022-06-03,13971.375470630028
2022-06-04,13808.807476029995
2022-06-05,13681.456515319418
2022-06-06,13067.469037828701
2022-06-07,12681.6284784703
2022-06-08,13469.306318846055
2022-06-09,13117.791585430912
2022-06-10,12649.490074857942
2022-06-11,12819.71208389051
2022-06-12,13463.361068237218
2022-06-13,12741.65559149594
2022-06-14,12647.70079504082
2022-06-15,12391.355181973186
2022-06-16,11666.387703034716
2022-06-17,12037.442379220272
2022-06-18,12039.05702048293
2022-06-19,12079.890693677873
2022-06-20,11788.115402350288
2022-06-21,11989.921562286287
2022-06-22,11781.346090537385
2022-06-23,11734.756919718853
2022-06-24,11313.884278735124
2022-06-25,10829.649685764443
2022-06-26,11403.930753435858
2022-06-27,11191.079779232343
