,price
2022-01-01,101.68493421052582
2022-01-02,96.09983255013704
2022-01-03,100.23799258638152
2022-01-04,105.53458016266501
2022-01-05,94.38149361869638
2022-01-06,86.2806532147133
2022-01-07,86.90873498878442
2022-01-08,85.38808782855115
2022-01-09,85.24013949249628
2022-01-10,81.39824369988034
2022-01-11,85.42860592033261
2022-01-12,89.18462872377799
2022-01-13,89.43868576519488
2022-01-14,94.8765569758079
2022-01-15,97.39952890772155
2022-01-16,92.89688313103449
2022-01-17,94.75783646649961
2022-01-18,89.92832417088027
2022-01-19,94.44224182752866
2022-01-20,94.09764527637253
2022-01-21,93.10075324781094
2022-01-22,89.71233645262623
2022-01-23,95.86096778322218
2022-01-24,94.91003286092847
2022-01-25,92.69424905949646
2022-01-26,90.87836053659977
2022-01-27,93.4299213843093
2022-01-28,95.22005626791328
2022-01-29,97.27011934471538
2022-01-30,99.46659698454144
2022-01-31,111.52890697442541
2022-02-01,108.3380293868911
2022-02-02,105.28384297649342
2022-02-03,100.66011716483057
2022-02-04,104.09054623292751
2022-02-05,110.63184118980548
2022-02-06,109.80845423886277
2022-02-07,104.92561075373968
2022-02-08,100.12167675526655
2022-02-09,103.74973280513147
2022-02-10,107.9826014860807
2022-02-11,111.18756818838493
2022-02-12,107.14838960781823
2022-02-13,108.4321654791378
2022-02-14,109.01766347852957
2022-02-15,110.19978076810682
2022-02-16,115.33989029320352
2022-02-17,116.69681221949924
2022-02-18,120.89624737512268
2022-02-19,121.24427884629536
2022-02-20,123.01726161044189
2022-02-21,127.12989329227493
2022-02-22,117.29790702635592
2022-02-23,114.92209316062852
2022-02-24,111.96600732102165
2022-02-25,108.08053217058627
2022-02-26,106.37605030174524
2022-02-27,115.12039641669551
2022-02-28,109.06604851643942
2022-03-01,115.15187133088851
2022-03-02,104.49379927829425
2022-03-03,102.1627425664914
2022-03-04,102.97422613494878
2022-03-05,106.14699484173411
2022-03-06,110.24531774984949
2022-03-07,115.0807264449333
2022-03-08,112.77178571920363
2022-03-09,109.91881938838664
2022-03-10,115.02957947717336
2022-03-11,113.70817704452905
2022-03-12,106.1523846294089
2022-03-13,99.17634130675495
2022-03-14,93.85162673532366
2022-03-15,96.47359942637841
2022-03-16,97.14013718241408
2022-03-17,100.68835959444083
2022-03-18,98.26965209908727
2022-03-19,99.02952077957059
2022-03-20,102.29440602626639
2022-03-21,100.49634731457434
2022-03-22,102.89575255239411
2022-03-23,99.20514579187423
2022-03-24,97.16781837930344
2022-03-25,95.11886903840903
2022-03-26,89.13111048594654
2022-03-27,91.635318751585
2022-03-28,89.2578380593152
2022-03-29,89.24346404201579
2022-03-30,91.47377951788606
2022-03-31,93.62780083624243
2022-04-01,96.96545112863163
2022-04-02,96.36231607473916
2022-04-03,94.14086090471146
2022-04-04,93.65972822349588
2022-04-05,85.56018357044269
2022-04-06,77.99193244131803
2022-04-07,71.61244476263366
2022-04-08,67.23837542842435
2022-04-09,68.76618176179859
2022-04-10,65.43917536840377
2022-04-11,64.00615220324973
2022-04-12,68.57574501442637
2022-04-13,67.07965848328837
2022-04-14,69.7321399371418
2022-04-15,66.17069899846979
2022-04-16,65.34951334405305
2022-04-17,62.07245993639319
2022-04-18,60.842104898480024
2022-04-19,63.59198275854943
2022-04-20,57.69302484973324
2022-04-21,59.29381972489889
2022-04-22,60.012544671508586
2022-04-23,58.09268053575231
2022-04-24,53.64666508919693
2022-04-25,53.83910345863473
2022-04-26,52.30242574221731
2022-04-27,52.921812752882126
2022-04-28,52.939240634809046
2022-04-29,57.58946123915586
2022-04-30,56.687387704303575
2022-05-01,53.627577350335756
2022-05-02,54.13457037507935
2022-05-03,54.7264995862377
2022-05-04,58.787256534140965
2022-05-05,61.758178432429176
2022-05-06,62.96394530428934
2022-05-07,68.04980927941264
2022-05-08,63.2238102262429
2022-05-09,60.78852740536442
2022-05-10,57.712960577310724
2022-05-11,56.405313618834796
2022-05-12,52.337159745563
2022-05-13,54.33613652444985
2022-05-14,53.629822039364406
2022-05-15,49.54511518018412
2022-05-16,46.52287966571717
2022-05-17,47.341136612799076
2022-05-18,49.47303961348736
2022-05-19,55.26409572483867
2022-05-20,67.40405828420197
2022-05-21,70.01481633789444
2022-05-22,66.23940274717175
2022-05-23,58.593044550297
2022-05-24,59.66785814853929
2022-05-25,57.07643061009168
2022-05-26,55.724513340495506
2022-05-27,53.87318890927969
2022-05-28,53.416022733960375
2022-05-29,56.483553842642245
2022-05-30,56.94780301082456
2022-05-31,56.422073524885384
2022-06-01,53.353793908453305
2022-06-02,48.43886352412737
2022-06-03,46.89778955036971
2022-06-04,46.72155278708779
2022-06-05,51.27680310354626
2022-06-06,51.66520722262621
2022-06-07,54.39178936830984
2022-06-08,52.82644343151818
2022-06-09,49.49852725663759
2022-06-10,46.73666271816084
2022-06-11,44.79269317240226
2022-06-12,50.364987186114476
2022-06-13,47.50846668303492
2022-06-14,49.816522011820815
2022-06-15,47.30873180752531
2022-06-16,49.82911200079216
2022-06-17,50.88961002246396
2022-06-18,50.42075624389264
2022-06-19,50.26954498029027
2022-06-20,48.51152246593579
2022-06-21,49.669662471339066
2022-06-22,48.42548363179317
2022-06-23,45.29052058215189
2022-06-24,41.96978661731666
2022-06-25,42.375393140332704
2022-06-26,46.05326327387113
2022-06-27,46.475537928717
2022-06-28,46.14442689166229
2022-06-29,46.811513473391955
2022-06-30,50.151302452901234
2022-07-01,50.7684778003496
2022-07-02,49.62664367712505
2022-07-03,52.62351940894964
2022-07-04,53.90037389512416
2022-07-05,58.50716458059638
2022-07-06,59.12649337926352
2022-07-07,55.346967338147714
2022-07-08,51.027084327908426
2022-07-09,56.43740506723937
2022-07-10,63.19315189949002
2022-07-11,62.362859319693456
2022-07-12,61.05106140106468
2022-07-13,65.97721385230763
2022-07-14,61.60643855900173
2022-07-15,58.37903233420912
2022-07-16,60.50541600273358
2022-07-17,59.15824559245877
