,price
2022-01-01,40736.48082666758
2022-01-02,40999.20654552572
2022-01-03,40900.74036526743
2022-01-04,38008.593484618286
2022-01-05,38684.06479241494
2022-01-06,36107.1606368055
2022-01-07,37459.54656410135
2022-01-08,38229.75247652107
2022-01-09,39249.055078994155
2022-01-10,40314.25073777038
2022-01-11,40691.106910885166
2022-01-12,39985.81581237686
2022-01-13,39571.40319971923
2022-01-14,41478.69129018733
2022-01-15,40585.52678659718
2022-01-16,40263.134967678765
2022-01-17,39331.94026607556
2022-01-18,38652.12235865053
2022-01-19,38252.196305953425
2022-01-20,38541.226670519114
2022-01-21,38163.75386660123
2022-01-22,37716.91531818012
2022-01-23,36965.98002646122
2022-01-24,37051.537272554735
2022-01-25,35500.310569597495
2022-01-26,35545.31480299751
2022-01-27,37015.33020722308
2022-01-28,36009.28527804434
2022-01-29,35934.48223562632
2022-01-30,39232.356700944096
2022-01-31,37443.54266746324
2022-02-01,35295.22016917205
2022-02-02,34696.991092320786
2022-02-03,36741.95769948803
2022-02-04,39717.29242203699
2022-02-05,37641.4970691677
2022-02-06,38432.87519789512
2022-02-07,38416.27264656325
2022-02-08,37691.95849426168
2022-02-09,35384.44386904108
2022-02-10,36829.9733916901
2022-02-11,35713.75928644568
2022-02-12,36052.169118288264
2022-02-13,36124.69117465334
2022-02-14,38286.226730823684
2022-02-15,40047.52992414277
2022-02-16,38394.29825563078
2022-02-17,38018.70545778873
2022-02-18,39261.095534121756
2022-02-19,37508.0703442297
2022-02-20,36962.1047070437
2022-02-21,37209.34663525739
2022-02-22,35342.80297460515
2022-02-23,33742.18007099807
2022-02-24,31714.48248434688
2022-02-25,32056.196136417042
2022-02-26,31472.93839267828
2022-02-27,32406.933960650214
2022-02-28,32511.613480284974
2022-03-01,33081.72382345864
2022-03-02,32973.81474974387
2022-03-03,33741.67622529219
2022-03-04,33608.514519005876
2022-03-05,32569.132075192683
2022-03-06,33868.46794741974
2022-03-07,35027.730151638636
2022-03-08,37816.75182242975
2022-03-09,37562.70029583885
2022-03-10,36862.336293216424
2022-03-11,35166.174090888475
2022-03-12,30566.27410613242
2022-03-13,28149.52851484524
2022-03-14,28750.45955554238
2022-03-15,27919.305164001966
2022-03-16,25594.27764062559
2022-03-17,26303.004661244307
2022-03-18,25776.827433770966
2022-03-19,25463.48945844019
2022-03-20,25103.17860304578
2022-03-21,24981.38152117418
2022-03-22,25341.791192153938
2022-03-23,23964.070906915902
2022-03-24,23744.467402436294
2022-03-25,23353.04747413178
2022-03-26,24203.505490905274
2022-03-27,23343.617675582413
2022-03-28,24676.405313340936
2022-03-29,25241.010781009474
2022-03-30,26599.748110905883
2022-03-31,25891.444226564516
2022-04-01,26573.766158188184
2022-04-02,26878.681432585592
2022-04-03,25617.22766936974
2022-04-04,25360.65157987757
2022-04-05,24986.18618977384
2022-04-06,24214.949782329244
2022-04-07,23585.117753152324
2022-04-08,22480.35161266883
2022-04-09,22089.09705047353
2022-04-10,22313.996932661263
2022-04-11,21758.244127401198
2022-04-12,20659.241644978425
2022-04-13,21464.208332838032
2022-04-14,21176.891467084137
2022-04-15,21183.082601085265
2022-04-16,21016.030853986576
2022-04-17,20649.586907751418
2022-04-18,21039.54890033822
2022-04-19,20671.14248860597
2022-04-20,20678.21662070554
2022-04-21,19750.43004997797
2022-04-22,18609.83459858583
2022-04-23,18320.15539739017
2022-04-24,19460.55575147342
2022-04-25,19588.202192093002
2022-04-26,20805.867582626775
2022-04-27,21166.106276732295
2022-04-28,21464.13808663034
2022-04-29,21056.602083569567
2022-04-30,21029.241411641982
2022-05-01,22231.830739022542
2022-05-02,23247.406055747208
2022-05-03,22717.044334796286
2022-05-04,22359.287268066575
2022-05-05,23320.901654229256
